task,method,method_group,time_step,quality_score,runtime_sec,objective,valid,n_solution_edges,reference_similarity,quality_gap_to_baseline,speedup_vs_full_recompute,reused_solution_rate,changed_edges_ratio,n_changed_edges,n_recomputed_edges,gpu_used,n_queries,n_recomputed_queries,mean_path_risk,n_solution_nodes
MaxCut,learning_augmented_neural_warm_start_maxcut,ai_ml,15,99795.73227229825,0.2862082219999138,99795.73227229825,True,,0.4875968992248062,-0.005294657079543315,18.347064805852416,,1.03532575775931,42731,,True,,,,5160.0
MaxCut,graph_ai_message_passing_maxcut,graph_ai,15,99102.49702451077,0.36720532499930414,99102.49702451077,True,,0.5244186046511627,0.0016886644997645233,14.300121592763297,,1.03532575775931,42731,,True,,,,5160.0
MaxCut,classical_random_restarts_local_improvement,classical,16,98964.70634552167,5.272177011000167,98964.70634552167,True,,1.0,0.0,1.0,0.0,1.0353497025630982,42293,,,,,,5170.0
MaxCut,dynamic_local_search_warm_start,dynamic,16,99412.8260915193,0.2693156169998474,99412.8260915193,True,,0.5102514506769826,-0.0045280763470673694,19.57620233736076,0.9495164410058027,1.0353497025630982,42293,,,,,,5170.0
MaxCut,learning_augmented_neural_warm_start_maxcut,ai_ml,16,99412.8260915193,0.3121081959998264,99412.8260915193,True,,0.5102514506769826,-0.0045280763470673694,16.89214534758036,,1.0353497025630982,42293,,True,,,,5170.0
MaxCut,graph_ai_message_passing_maxcut,graph_ai,16,98624.38773375472,0.3495437719993788,98624.38773375472,True,,0.4891682785299807,0.003438787668189285,15.083023739325949,,1.0353497025630982,42293,,True,,,,5170.0
MaxCut,classical_random_restarts_local_improvement,classical,17,99032.61435998566,4.851044742999875,99032.61435998566,True,,1.0,0.0,1.0,0.0,1.0353249449978987,41882,,,,,,5180.0
MaxCut,dynamic_local_search_warm_start,dynamic,17,99762.3206711464,0.2968377689994668,99762.3206711464,True,,0.46505791505791505,-0.0073683434076398735,16.34241073617754,0.9428571428571428,1.0353249449978987,41882,,,,,,5180.0
MaxCut,learning_augmented_neural_warm_start_maxcut,ai_ml,17,99833.58184042478,0.25593942099931155,99833.58184042478,True,,0.4702702702702703,-0.008087916143742217,18.953878711060003,,1.0353249449978987,41882,,True,,,,5180.0
MaxCut,graph_ai_message_passing_maxcut,graph_ai,17,98762.23229039484,0.3482767169998624,98762.23229039484,True,,0.4897683397683398,0.002730232573765821,13.928708139860499,,1.0353249449978987,41882,,True,,,,5180.0
MaxCut,classical_random_restarts_local_improvement,classical,18,99445.09617761968,4.731202942999516,99445.09617761968,True,,1.0,0.0,1.0,0.0,1.035237240829346,41542,,,,,,5190.0
MaxCut,dynamic_local_search_warm_start,dynamic,18,100099.15506895998,0.24937323199992534,100099.15506895998,True,,0.48053949903660886,-0.0065770854117540856,18.97237688687025,0.9520231213872833,1.035237240829346,41542,,,,,,5190.0
MaxCut,learning_augmented_neural_warm_start_maxcut,ai_ml,18,100111.48350909728,0.29708711100010987,100111.48350909728,True,,0.48323699421965316,-0.006701057740316923,15.925305298747096,,1.035237240829346,41542,,True,,,,5190.0
MaxCut,graph_ai_message_passing_maxcut,graph_ai,18,99364.86500556365,0.2952144009996118,99364.86500556365,True,,0.5287090558766859,0.0008067886214592535,16.026328414126848,,1.035237240829346,41542,,True,,,,5190.0
MaxCut,classical_random_restarts_local_improvement,classical,19,99179.94600962455,4.6666460389997155,99179.94600962455,True,,1.0,0.0,1.0,0.0,1.03527252614642,41179,,,,,,5200.0
MaxCut,dynamic_local_search_warm_start,dynamic,19,100221.0757026457,0.2175937319998411,100221.0757026457,True,,0.5228846153846154,-0.010497381122995583,21.446601407632105,0.9473076923076923,1.03527252614642,41179,,,,,,5200.0
MaxCut,learning_augmented_neural_warm_start_maxcut,ai_ml,19,100247.45031852394,0.21973046400034946,100247.45031852394,True,,0.5221153846153846,-0.010763308025957253,21.23804753351039,,1.03527252614642,41179,,True,,,,5200.0
MaxCut,graph_ai_message_passing_maxcut,graph_ai,19,98862.40676471456,0.342903524000576,98862.40676471456,True,,0.4753846153846154,0.003201647688729077,13.609209915824245,,1.03527252614642,41179,,True,,,,5200.0
