task,method,method_group,time_step,quality_score,runtime_sec,objective,valid,n_solution_edges,reference_similarity,quality_gap_to_baseline,speedup_vs_full_recompute,reused_solution_rate,changed_edges_ratio,n_changed_edges,n_recomputed_edges,gpu_used,n_queries,n_recomputed_queries,mean_path_risk,n_solution_nodes,coverage_rate,n_repaired_edges
Vertex Cover,dynamic_matching_cover_repair,dynamic,6,3705.0,0.0662419049995151,3705.0,True,,0.7670173931715697,-0.1810344827586207,0.2123110137059186,1.0,1.035393566802064,47157,,,,,,3705.0,1.0,33.0
Vertex Cover,primal_dual_neural_node_ranking,ai_ml,6,4712.0,110.93034811799953,4712.0,True,,0.8520152396230198,0.04155614500442087,0.00012678123019408614,,1.035393566802064,47157,,True,,,,4712.0,1.0,
Vertex Cover,graph_ai_message_passing_vertex_cover,graph_ai,6,4066.0,3.6772640869994575,4066.0,True,,0.8126186959274109,-0.10123784261715296,0.00382455153274943,,1.035393566802064,47157,,True,,,,4066.0,1.0,
Vertex Cover,classical_maximal_matching_2approx,classical,7,4520.0,0.012998234999940905,4520.0,True,,1.0,0.0,1.0,0.0,1.0354072724849508,46613,,,,,,4520.0,1.0,
Vertex Cover,dynamic_matching_cover_repair,dynamic,7,3682.0,0.06647027599956346,3682.0,True,,0.7593307593307593,-0.18539823008849557,0.19554958670588748,1.0,1.0354072724849508,46613,,,,,,3682.0,1.0,22.0
Vertex Cover,primal_dual_neural_node_ranking,ai_ml,7,4112.0,100.59493959700012,4112.0,True,,0.8073701842546064,-0.09026548672566372,0.00012921360708614143,,1.0354072724849508,46613,,True,,,,4112.0,1.0,
Vertex Cover,graph_ai_message_passing_vertex_cover,graph_ai,7,4047.0,3.948430217999885,4047.0,True,,0.8108222363136758,-0.10464601769911504,0.0032920006894601485,,1.0354072724849508,46613,,True,,,,4047.0,1.0,
Vertex Cover,classical_maximal_matching_2approx,classical,8,4548.0,0.01321013500000845,4548.0,True,,1.0,0.0,1.0,0.0,1.0354274917335853,46032,,,,,,4548.0,1.0,
Vertex Cover,dynamic_matching_cover_repair,dynamic,8,3677.0,0.06603218999953242,3677.0,True,,0.753731343283582,-0.1915127528583993,0.2000559878462609,1.0,1.0354274917335853,46032,,,,,,3677.0,1.0,28.0
Vertex Cover,primal_dual_neural_node_ranking,ai_ml,8,4079.0,100.31992790299955,4079.0,True,,0.8067015706806283,-0.10312225153913808,0.000131680068717568,,1.0354274917335853,46032,,True,,,,4079.0,1.0,
