task,method,method_group,time_step,quality_score,runtime_sec,objective,valid,n_solution_edges,reference_similarity,quality_gap_to_baseline,speedup_vs_full_recompute,reused_solution_rate,changed_edges_ratio,n_changed_edges,n_recomputed_edges,gpu_used,n_queries,n_recomputed_queries,mean_path_risk
Shortest Path,ai_risk_aware_routing_proxy_inspired_by_gnn_rl,ai_ml,2,7.721752985975222,0.39113668300001336,7.721752985975222,True,,0.46,0.08527308925339565,1.2059366648559033,,1.0354133644781847,49646,,,300.0,,0.16057376486015607
Shortest Path,graph_ai_message_passing_routing,graph_ai,2,7.117528136242857,0.40227954600004523,7.117528136242857,True,,0.96,0.00035079628912592216,1.1725330598831485,,1.0354133644781847,49646,,True,300.0,,0.15227929633356543
Shortest Path,classical_dijkstra_full_recompute,classical,3,7.1438457935110184,0.46288073599998825,7.1438457935110184,True,,1.0,0.0,1.0,0.0,1.0354298269706124,49010,,,300.0,,
Shortest Path,dynamic_affected_query_path_reuse,dynamic,3,7.1438457935110184,0.4574761110000054,7.1438457935110184,True,,1.0,0.0,1.0118140048628306,0.0,1.0354298269706124,49010,,,300.0,300.0,
Shortest Path,ai_risk_aware_routing_proxy_inspired_by_gnn_rl,ai_ml,3,7.802858309723585,0.4144528000001628,7.802858309723585,True,,0.43,0.09224898398719196,1.1168478919669655,,1.0354298269706124,49010,,,300.0,,0.1654964324931676
Shortest Path,graph_ai_message_passing_routing,graph_ai,3,7.14429046351189,0.4112407570000869,7.14429046351189,True,,0.98,6.22451846980612e-05,1.1255711602531906,,1.0354298269706124,49010,,True,300.0,,0.15363217609380295
Shortest Path,classical_dijkstra_full_recompute,classical,4,7.147224359436583,0.4569036989998949,7.147224359436583,True,,1.0,0.0,1.0,0.0,1.03544732163893,48344,,,300.0,,
Shortest Path,dynamic_affected_query_path_reuse,dynamic,4,7.147224359436583,0.4605568970000604,7.147224359436583,True,,1.0,0.0,0.9920678682178871,0.0,1.03544732163893,48344,,,300.0,300.0,
Shortest Path,ai_risk_aware_routing_proxy_inspired_by_gnn_rl,ai_ml,4,7.776712816962602,0.42081245800000033,7.776712816962602,True,,0.42,0.08807453437429824,1.0857656191345326,,1.03544732163893,48344,,,300.0,,0.16247341684833475
Shortest Path,graph_ai_message_passing_routing,graph_ai,4,7.148774299310005,0.42788246700001764,7.148774299310005,True,,0.97,0.00021685899245280435,1.0678252422992505,,1.03544732163893,48344,,True,300.0,,0.1550635659693323
Shortest Path,classical_dijkstra_full_recompute,classical,5,7.254555610881959,0.4965821270000106,7.254555610881959,True,,1.0,0.0,1.0,0.0,1.035459299928387,47715,,,300.0,,
Shortest Path,dynamic_affected_query_path_reuse,dynamic,5,7.254555610881959,0.44864122800004225,7.254555610881959,True,,1.0,0.0,1.106857988093693,0.0,1.035459299928387,47715,,,300.0,300.0,
Shortest Path,ai_risk_aware_routing_proxy_inspired_by_gnn_rl,ai_ml,5,7.943931469332977,0.39412562100005744,7.943931469332977,True,,0.42,0.09502661436862406,1.25995900936351,,1.035459299928387,47715,,,300.0,,0.16097262411194116
Shortest Path,graph_ai_message_passing_routing,graph_ai,5,7.255262621472439,0.40895062799995685,7.255262621472439,True,,0.9833333333333333,9.745746375137183e-05,1.2142838108077512,,1.035459299928387,47715,,True,300.0,,0.15468870111450012
Shortest Path,classical_dijkstra_full_recompute,classical,6,7.380254426124499,0.4522822270000688,7.380254426124499,True,,1.0,0.0,1.0,0.0,1.035393566802064,47157,,,300.0,,
Shortest Path,dynamic_affected_query_path_reuse,dynamic,6,7.380254426124499,0.45612440399986554,7.380254426124499,True,,1.0,0.0,0.991576471317685,0.0,1.035393566802064,47157,,,300.0,300.0,
Shortest Path,ai_risk_aware_routing_proxy_inspired_by_gnn_rl,ai_ml,6,8.10794729305899,0.41848957100000916,8.10794729305899,True,,0.3933333333333333,0.09859997026100019,1.0807490994800892,,1.035393566802064,47157,,,300.0,,0.16373890820405143
Shortest Path,graph_ai_message_passing_routing,graph_ai,6,7.38189151239176,0.4255635219999476,7.38189151239176,True,,0.9733333333333334,0.0002218197602328758,1.0627842933401714,,1.035393566802064,47157,,True,300.0,,0.15483282885535996
Shortest Path,classical_dijkstra_full_recompute,classical,7,7.36634543139881,0.45163955699990765,7.36634543139881,True,,1.0,0.0,1.0,0.0,1.0354072724849508,46613,,,300.0,,
Shortest Path,dynamic_affected_query_path_reuse,dynamic,7,7.36634543139881,0.4416551879999133,7.36634543139881,True,,1.0,0.0,1.022606706026051,0.0,1.0354072724849508,46613,,,300.0,300.0,
Shortest Path,ai_risk_aware_routing_proxy_inspired_by_gnn_rl,ai_ml,7,8.212097766398127,0.43095485000003464,8.212097766398127,True,,0.38333333333333336,0.11481301588089057,1.047997387661077,,1.0354072724849508,46613,,,300.0,,0.1597588894566283
Shortest Path,graph_ai_message_passing_routing,graph_ai,7,7.3677422451647,0.4191806960000122,7.3677422451647,True,,0.9733333333333334,0.00018962099712784112,1.0774340548351362,,1.0354072724849508,46613,,True,300.0,,0.15543325436819125
Shortest Path,classical_dijkstra_full_recompute,classical,8,7.347721190754448,0.43564087599997947,7.347721190754448,True,,1.0,0.0,1.0,0.0,1.0354274917335853,46032,,,300.0,,
Shortest Path,dynamic_affected_query_path_reuse,dynamic,8,7.347721190754448,0.4372785909999948,7.347721190754448,True,,1.0,0.0,0.9962547560440357,0.0,1.0354274917335853,46032,,,300.0,300.0,
Shortest Path,ai_risk_aware_routing_proxy_inspired_by_gnn_rl,ai_ml,8,8.114049552554409,0.38937494200013134,8.114049552554409,True,,0.37333333333333335,0.10429469789412033,1.11882103599731,,1.0354274917335853,46032,,,300.0,,0.16218647355522808
Shortest Path,graph_ai_message_passing_routing,graph_ai,8,7.348630256738306,0.40033419899987166,7.348630256738306,True,,0.9733333333333334,0.00012372080543860225,1.088193007463045,,1.0354274917335853,46032,,True,300.0,,0.15705598033866092
Shortest Path,classical_dijkstra_full_recompute,classical,9,7.402146148375996,0.44687552599998526,7.402146148375996,True,,1.0,0.0,1.0,0.0,1.035398028637119,45484,,,300.0,,
Shortest Path,dynamic_affected_query_path_reuse,dynamic,9,7.402146148375996,0.44075146300019696,7.402146148375996,True,,1.0,0.0,1.013894594831522,0.0,1.035398028637119,45484,,,300.0,300.0,
Shortest Path,ai_risk_aware_routing_proxy_inspired_by_gnn_rl,ai_ml,9,8.162711507751288,0.3738271629999872,8.162711507751288,True,,0.38333333333333336,0.10274930326013047,1.1954067821444012,,1.035398028637119,45484,,,300.0,,0.16124052415163032
Shortest Path,graph_ai_message_passing_routing,graph_ai,9,7.403630710984975,0.40700756899991575,7.403630710984975,True,,0.96,0.00020055840282270899,1.097953846652119,,1.035398028637119,45484,,True,300.0,,0.1525713569860034
Shortest Path,classical_dijkstra_full_recompute,classical,10,7.449774451881513,0.427525605000028,7.449774451881513,False,,1.0,0.0,1.0,0.0,1.0353666674336732,44996,,,300.0,,
Shortest Path,dynamic_affected_query_path_reuse,dynamic,10,7.449774451881513,0.4227974349998931,7.449774451881513,False,,1.0,0.0,1.0111830621681424,0.0,1.0353666674336732,44996,,,300.0,300.0,
Shortest Path,ai_risk_aware_routing_proxy_inspired_by_gnn_rl,ai_ml,10,8.289775012222586,0.37925524899992524,8.289775012222586,False,,0.36666666666666664,0.11275516671903035,1.1272766985490352,,1.0353666674336732,44996,,,300.0,,0.1677720146249427
