Метод,Precision,Recall,F1,Покрытие хабов
Degree-filter threshold,0.009554140127388535,0.008310249307479225,0.008888888888888889,1.0
FlowScope scoring,0.03389830508474576,0.0018467220683287165,0.0035026269702276708,0.2222222222222222
GAT all nodes,0.4808548530721282,0.4986149584487535,0.48957388939256574,0.5555555555555556
GAT hub nodes only,0.45454545454545453,0.5555555555555556,0.5,0.5555555555555556
