task,method,method_group,time_step,quality_score,runtime_sec,objective,valid,n_solution_edges,reference_similarity,quality_gap_to_baseline,speedup_vs_full_recompute,reused_solution_rate,changed_edges_ratio,n_changed_edges,n_recomputed_edges,gpu_used
MST/MSF,dynamic_delta_aware_warm_start_msf,dynamic,11,5286.854114743266,0.159215814999925,5286.854114743266,True,5023,1.0,0.0,4.31912356822274,0.0,1.035366335712791,44528,5023.0,
MST/MSF,learned_edge_ranking_msf_practical_adaptation,ai_ml,11,5584.867095528532,0.38769105400001536,5584.867095528532,True,5023,0.7347608357796581,0.05636867867305207,1.7737648880593992,,1.035366335712791,44528,,
MST/MSF,graph_ai_message_passing_msf,graph_ai,11,5286.984503038666,0.19310097699997186,5286.984503038666,True,5023,0.9897009308774015,2.4662737531609985e-05,3.561208180733689,,1.035366335712791,44528,,True
MST/MSF,classical_kruskal_full_recompute,classical,12,5309.003745945835,0.1231806340000503,5309.003745945835,True,5027,1.0,0.0,1.0,0.0,1.035397605663617,44022,,
MST/MSF,dynamic_delta_aware_warm_start_msf,dynamic,12,5309.003745945835,0.6782472060000373,5309.003745945835,True,5027,1.0,0.0,0.18161613186216874,0.0,1.035397605663617,44022,5027.0,
MST/MSF,learned_edge_ranking_msf_practical_adaptation,ai_ml,12,5706.684764199213,0.3754427820000501,5706.684764199213,True,5027,0.7376425855513308,0.07490690104655928,0.32809429267449297,,1.035397605663617,44022,,
MST/MSF,graph_ai_message_passing_msf,graph_ai,12,5309.069461338056,0.19670519299995703,5309.069461338056,True,5027,0.9924692826000793,1.2378102439729826e-05,0.6262195324964156,,1.035397605663617,44022,,True
MST/MSF,classical_kruskal_full_recompute,classical,13,5320.912752066718,0.12465211900007489,5320.912752066718,True,5030,1.0,0.0,1.0,0.0,1.0353797137286604,43546,,
MST/MSF,dynamic_delta_aware_warm_start_msf,dynamic,13,5320.912752066718,0.1494359920000079,5320.912752066718,True,5030,1.0,0.0,0.8341505773258981,0.0,1.0353797137286604,43546,5030.0,
MST/MSF,learned_edge_ranking_msf_practical_adaptation,ai_ml,13,5742.267815647535,0.3886720760000344,5742.267815647535,True,5030,0.7309015829318651,0.07918849325562737,0.3207128237328371,,1.0353797137286604,43546,,
MST/MSF,graph_ai_message_passing_msf,graph_ai,13,5320.972069809252,0.7394425899999533,5320.972069809252,True,5030,0.9912905779889153,1.1148038935869405e-05,0.1685757903126499,,1.0353797137286604,43546,,True
